City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches(last 3hrs),Snow inches(last 3hrs),Current Description
59,Sao Filipe,CV,1/5/2020 11:19,14.9,-24.5,71.89,64,17,14.7,0,0,few clouds
60,Albany,US,1/5/2020 11:16,42.65,-73.75,34,63,90,11.41,0,0,light rain
61,Victoria,BN,1/5/2020 11:15,5.28,115.24,82.4,83,75,10.29,0,0,broken clouds
62,Lebu,ET,1/5/2020 11:19,8.96,38.73,77,31,45,6.93,0,0,scattered clouds
63,Jiangyou,CN,1/5/2020 11:19,31.78,104.73,39.6,75,99,1.05,0,0,overcast clouds
64,Okhotsk,RU,1/5/2020 11:19,59.36,143.24,8.78,80,88,11.97,0,0,overcast clouds
65,Sobolevo,RU,1/5/2020 11:19,54.43,31.9,31.95,79,11,8.01,0,0,few clouds
66,Salinopolis,BR,1/5/2020 11:19,-0.61,-47.36,79.86,79,100,5.97,0,6.44,moderate rain
67,Sambava,MG,1/5/2020 11:19,-14.27,50.17,79.14,94,100,1.81,0,7.5,moderate rain
68,Riyadh,SA,1/5/2020 11:14,24.63,46.72,55.4,87,90,6.93,0,0,overcast clouds
69,Luanda,AO,1/5/2020 11:19,-8.83,13.24,89.6,52,40,6.93,0,0,scattered clouds
70,Vila Franca Do Campo,PT,1/5/2020 11:19,37.72,-25.43,64.4,82,20,11.41,0,0,few clouds
71,Olga,US,1/5/2020 11:19,34.11,-118.17,53.6,81,1,0.83,0,0,clear sky
72,Puerto Ayora,EC,1/5/2020 11:19,-0.74,-90.35,75,83,74,1.99,0,0,broken clouds
73,San Patricio,PY,1/5/2020 11:19,-26.98,-56.83,84.83,51,0,3,0,0,clear sky
74,Kaitangata,NZ,1/5/2020 11:19,-46.28,169.85,53.01,51,47,27,0,0,scattered clouds
75,Norman Wells,CA,1/5/2020 11:19,65.28,-126.83,-20.2,75,75,8.05,0,0,light snow
76,Kalachinsk,RU,1/5/2020 11:19,55.05,74.58,16.03,94,96,9.31,0,0,overcast clouds
77,Santa Maria,BR,1/5/2020 11:14,-16.02,-48.01,68,94,75,1.12,0,0,light rain
78,Champerico,MX,1/5/2020 11:19,16.38,-93.6,59.36,87,99,5.28,0,0.13,light rain
79,Jamestown,AU,1/5/2020 11:19,-33.21,138.6,54.57,88,100,11.52,0,0.88,light rain
80,Cockburn Town,TC,1/5/2020 11:16,21.46,-71.14,76.64,67,18,5.7,0,0,few clouds
81,Saint-Philippe,CA,1/5/2020 11:19,45.36,-73.48,28.99,73,90,10.29,0,0,light snow
82,Biltine,TD,1/5/2020 11:19,14.53,20.93,84.51,15,13,3.44,0,0,few clouds
83,Yerbogachen,RU,1/5/2020 11:19,61.28,108.01,13.62,92,100,14,0.56,0,light snow
84,San Jeronimo,PE,1/5/2020 11:19,-13.65,-73.37,53.69,74,98,3.18,0,0,overcast clouds
85,Qeshm,IR,1/5/2020 11:14,26.96,56.27,77,77,90,4.7,0,0,haze
86,Dikson,RU,1/5/2020 11:19,73.51,80.55,12.47,88,100,22.77,0.5,0,light snow
87,Gainesville,US,1/5/2020 11:15,29.65,-82.33,46.99,56,1,9.17,0,0,clear sky
88,Shimoda,JP,1/5/2020 11:19,34.7,138.93,42.8,45,20,10.29,0,0,few clouds
89,Caravelas,BR,1/5/2020 11:19,-17.73,-39.27,82.76,65,100,12.06,0,0,overcast clouds
90,Bagdarin,RU,1/5/2020 11:19,54.44,113.59,2.71,85,42,4.45,0,0,scattered clouds
91,Galle,GN,1/5/2020 11:19,10.08,-12.83,86.83,19,0,3.69,0,0,clear sky
92,Garissa,KE,1/5/2020 11:19,-0.46,39.64,91.56,40,97,3.98,0,0,overcast clouds
93,Upernavik,GL,1/5/2020 11:19,72.79,-56.15,-35.45,92,62,11.32,0,0,broken clouds
94,Jardim,BR,1/5/2020 11:19,-21.48,-56.15,81.79,63,0,4.29,0,0,clear sky
95,Kruisfontein,ZA,1/5/2020 11:19,-34,24.73,74.8,56,41,19.57,0,0,scattered clouds
96,Regina,CA,1/5/2020 11:16,50.45,-104.62,25,73,5,20.8,0,0,clear sky
97,Clyde River,CA,1/5/2020 11:19,70.47,-68.59,-29.2,66,90,5.82,0,0,haze
98,Hamilton,CA,1/5/2020 11:19,43.26,-79.87,34,79,75,12.75,0,0,broken clouds
99,Lahij,YE,1/5/2020 11:19,13.06,44.88,82.45,57,46,10.74,0,0,scattered clouds
100,Chor,PK,1/5/2020 11:19,25.52,69.77,78.13,21,0,5.5,0,0,clear sky
101,Nikolskoye,RU,1/5/2020 11:19,59.7,30.79,30.2,68,75,17.9,0,0,broken clouds
102,Punta Arenas,CL,1/5/2020 11:15,-53.16,-70.91,48.2,87,75,12.75,0,0,light rain
103,Kurumkan,RU,1/5/2020 11:19,54.33,110.32,2.73,84,16,2.19,0,0,few clouds
104,Salalah,OM,1/5/2020 11:19,17.01,54.1,80.6,65,75,13.87,0,0,broken clouds
105,Rio Grande,BR,1/5/2020 11:19,-32.03,-52.1,73.4,78,0,7.2,0,0,clear sky
106,Barrow,AR,1/5/2020 11:19,-38.31,-60.23,65.3,88,98,6.42,0,0,overcast clouds
107,Los Llanos De Aridane,ES,1/5/2020 11:19,28.66,-17.92,69.8,56,40,10.29,0,0,scattered clouds
108,Constitucion,MX,1/5/2020 11:19,23.99,-104.67,36,85,5,1.3,0,0,clear sky
109,Ambilobe,MG,1/5/2020 11:19,-13.19,49.05,85.64,70,100,10.45,0,0,overcast clouds
110,Fairbanks,US,1/5/2020 11:19,64.84,-147.72,-18,73,1,0.74,0,0,clear sky
111,Nanortalik,GL,1/5/2020 11:19,60.14,-45.24,29.16,75,76,22.64,0,0,broken clouds
112,Vostok,RU,1/5/2020 11:19,46.45,135.83,-5.8,98,100,4.97,0,0,overcast clouds
113,Khani,GE,1/5/2020 11:19,41.96,42.96,51.8,53,0,2.24,0,0,clear sky
114,Manhush,UA,1/5/2020 11:19,47.06,37.31,37.62,96,100,6.87,0,0.37,light rain
115,Mehamn,NO,1/5/2020 11:19,71.03,27.85,25.23,83,100,15.64,1.31,0,light snow
116,Tiksi,RU,1/5/2020 11:19,71.64,128.87,-15.83,87,79,10.67,0,0,broken clouds
117,Khatanga,RU,1/5/2020 11:19,71.98,102.47,-17.86,89,0,9.89,0,0,clear sky
118,Ahipara,NZ,1/5/2020 11:19,-35.17,173.16,64,100,80,18.23,0,0.13,light rain
119,Lavrentiya,RU,1/5/2020 11:19,65.58,-170.99,-9.83,87,100,10.16,0,0,overcast clouds
120,Talnakh,RU,1/5/2020 11:19,69.49,88.39,14,92,90,33.55,0,0,overcast clouds
121,East London,ZA,1/5/2020 11:19,-33.02,27.91,71.6,83,75,19.46,0,0,broken clouds
122,Haradok,BY,1/5/2020 11:19,55.46,29.99,32,66,75,6.71,0,0,broken clouds
123,Hilo,US,1/5/2020 11:19,19.71,-155.08,71.6,83,75,8.05,0,0,broken clouds
124,Maceio,BR,1/5/2020 11:19,-9.67,-35.74,80.6,74,75,9.17,0,0,broken clouds
125,Dombarovskiy,RU,1/5/2020 11:19,50.76,59.54,15.58,95,41,6.15,0,0,scattered clouds
126,Mar Del Plata,AR,1/5/2020 11:18,-46.43,-67.52,59.58,39,93,27.81,0,0,overcast clouds
127,Pontal Do Parana,BR,1/5/2020 11:19,-25.67,-48.51,75,77,75,5.82,0,0,broken clouds
128,Saint-Pierre,FR,1/5/2020 11:19,48.95,4.24,45,87,0,2.24,0,0,clear sky
129,Ruteng,ID,1/5/2020 11:19,-8.61,120.46,69.69,98,99,2.46,0,0.56,light rain
130,Maniitsoq,GL,1/5/2020 11:18,65.42,-52.9,16.3,75,100,13.15,0,0,overcast clouds
131,Ngunguru,NZ,1/5/2020 11:19,-35.62,174.5,63,81,19,5.01,0,0,few clouds
132,Huarmey,PE,1/5/2020 11:19,-10.07,-78.15,69.4,79,100,1.52,0,0,overcast clouds
133,Rocha,UY,1/5/2020 11:19,-34.48,-54.34,74.75,55,0,10.89,0,0,clear sky
134,Mount Pleasant,US,1/5/2020 11:18,33.16,-94.97,46.4,75,1,3.36,0,0,clear sky
135,Sakaiminato,JP,1/5/2020 11:19,35.55,133.23,42.8,81,75,2.24,0,0,broken clouds
136,Samarai,PG,1/5/2020 11:19,-10.62,150.67,78.46,86,99,2.33,0,0.69,light rain
137,Aksarka,RU,1/5/2020 11:19,66.56,67.8,20.37,82,0,19.26,0,0,clear sky
138,Quesnel,CA,1/5/2020 11:19,52.98,-122.49,30.2,63,75,8.05,0,0,broken clouds
139,Flin Flon,CA,1/5/2020 11:19,54.77,-101.88,9.55,91,100,10.45,0,0,overcast clouds
140,Sechura,PE,1/5/2020 11:19,-5.56,-80.82,70.72,86,93,6.67,0,0,overcast clouds
141,Tecoanapa,MX,1/5/2020 11:19,16.99,-99.26,73.4,94,5,2.98,0,0,clear sky
142,Leningradskiy,RU,1/5/2020 11:19,69.38,178.42,-10.95,56,0,3.2,0,0,clear sky
143,Saskylakh,RU,1/5/2020 11:19,71.97,114.09,-21.75,95,30,10.07,0,0,scattered clouds
144,Linxia,CN,1/5/2020 11:19,35.6,103.21,24.01,65,93,2.21,0,0,overcast clouds
145,Hirara,JP,1/5/2020 11:19,24.8,125.28,69.8,73,75,11.41,0,0,broken clouds
146,Necochea,AR,1/5/2020 11:18,-38.55,-58.74,64.31,92,99,8.75,0,0.19,light rain
147,Bonavista,CA,1/5/2020 11:19,48.65,-53.11,26.4,79,67,2.73,0,0,broken clouds
148,Palmer,AU,1/5/2020 11:19,-34.85,139.16,62.6,51,100,8.05,0,0.56,light rain
149,Zhigansk,RU,1/5/2020 11:19,66.77,123.37,-14.28,94,100,12.01,0,0,overcast clouds
150,Pisco,PE,1/5/2020 11:19,-13.71,-76.2,68,94,75,6.93,0,0,mist
151,Kuminskiy,RU,1/5/2020 11:19,58.67,66.57,21.76,94,56,7.31,0,0,broken clouds
152,Havelock,US,1/5/2020 11:19,34.88,-76.9,43,52,1,13.87,0,0,clear sky
153,Saint George,GR,1/5/2020 11:19,39.45,22.34,46.99,61,75,16.11,0,0,broken clouds
154,Behbahan,IR,1/5/2020 11:19,30.59,50.24,68,37,20,18.34,0,0,few clouds
155,Bubaque,GW,1/5/2020 11:19,11.28,-15.83,74.73,42,1,15.08,0,0,clear sky
156,Labuhan,ID,1/5/2020 11:19,-2.54,115.51,77.4,85,91,1.7,0,0,overcast clouds
157,Tuktoyaktuk,CA,1/5/2020 11:19,69.44,-133.03,-24.74,89,66,6.6,0,0,broken clouds
158,Margate,AU,1/5/2020 11:19,-43.03,147.26,59,62,20,10.29,0,0,few clouds
159,Qaanaaq,GL,1/5/2020 11:19,77.48,-69.36,-34.37,55,0,7.72,0,0,clear sky
160,Isangel,VU,1/5/2020 11:19,-19.55,169.27,76.5,83,54,18.59,0,0.69,light rain
161,Ketchikan,US,1/5/2020 11:19,55.34,-131.65,35.6,86,75,4.7,0,0,broken clouds
162,Kodiak,US,1/5/2020 11:19,39.95,-94.76,39,59,1,10.29,0,0,clear sky
163,Kedrovyy,RU,1/5/2020 11:19,56.17,91.82,26.6,79,40,11.18,0,0,light shower snow
164,Plouzane,FR,1/5/2020 11:19,48.38,-4.62,46.4,75,90,8.05,0,0,overcast clouds
165,Itoman,JP,1/5/2020 11:19,26.12,127.67,66.2,59,20,10.29,0,0,few clouds
166,Paamiut,GL,1/5/2020 11:19,61.99,-49.67,22.08,73,94,5.79,0,0,overcast clouds
167,Masterton,NZ,1/5/2020 11:19,-40.95,175.66,62.01,88,68,8.37,0,0.06,broken clouds
168,Butaritari,KI,1/5/2020 11:19,3.07,172.79,85.1,76,100,13.94,0,3.63,moderate rain
169,Airai,TL,1/5/2020 11:19,-8.93,125.41,68.63,91,88,4.5,0,0.69,light rain
170,Carnarvon,ZA,1/5/2020 11:19,-30.97,22.13,92.53,8,26,18.48,0,0,scattered clouds
171,Aklavik,CA,1/5/2020 11:19,68.22,-135.01,-23.8,67,90,2.24,0,0,light snow
172,Ust-Kalmanka,RU,1/5/2020 11:19,52.12,83.31,20.19,80,98,2.75,0,0,overcast clouds
173,Torbay,CA,1/5/2020 11:19,47.66,-52.73,30.99,92,90,3.36,0,0,overcast clouds
174,Ribeira Grande,PT,1/5/2020 11:19,38.52,-28.7,64.4,88,75,17.22,0,0,broken clouds
175,Sabha,LY,1/5/2020 11:19,27.03,14.43,58.19,26,0,5.53,0,0,clear sky
176,Hermanus,ZA,1/5/2020 11:19,-34.42,19.24,75.99,58,100,11.01,0,0,overcast clouds
177,Payakumbuh,ID,1/5/2020 11:19,-0.23,100.63,69.64,93,24,1.25,0,0.81,light rain
178,Dawei,MM,1/5/2020 11:19,14.07,98.19,81.36,75,0,8.86,0,0,clear sky
179,Esperance,AU,1/5/2020 11:19,-33.86,121.89,75.2,38,13,11.41,0,0,few clouds
180,Ancud,CL,1/5/2020 11:19,-41.87,-73.83,50,100,90,6.93,0,0,overcast clouds
181,Ilulissat,GL,1/5/2020 11:19,69.22,-51.1,12.2,85,100,25.28,0.31,0,light snow
182,Port Alfred,ZA,1/5/2020 11:19,-33.59,26.89,73.99,81,71,7,0,0,broken clouds
183,Ban Nahin,LA,1/5/2020 11:19,18.24,104.21,77.18,50,0,4.16,0,0,clear sky
184,Bilma,NE,1/5/2020 11:19,18.69,12.92,65.39,22,0,5.95,0,0,clear sky
185,Colares,PT,1/5/2020 11:19,38.8,-9.45,55,66,0,8.05,0,0,clear sky
186,Nouadhibou,MR,1/5/2020 11:19,20.93,-17.03,62.6,29,45,21.92,0,0,scattered clouds
187,Belaya Gora,RU,1/5/2020 11:19,68.54,146.19,-20.67,93,8,0.72,0,0,clear sky
188,Crotone,IT,1/5/2020 11:19,39.09,17.12,55.4,58,20,18.34,0,0,few clouds
189,Marsabit,KE,1/5/2020 11:19,2.34,37.99,86.38,42,78,13.91,0,0,broken clouds
190,Saint-Leu,RE,1/5/2020 11:19,-21.15,55.28,77,83,92,3.36,0,0,light rain
191,Gushi,CN,1/5/2020 11:19,32.17,115.65,46.11,97,100,7.34,0,2.31,light rain
192,Alghero,IT,1/5/2020 11:16,40.56,8.32,57.99,67,18,10.29,0,0,few clouds
193,Port Lincoln,AU,1/5/2020 11:19,-34.72,135.86,61.03,76,68,13.62,0,0,broken clouds
194,Cayenne,GF,1/5/2020 11:19,4.94,-52.33,77,94,75,3.36,0,0,broken clouds
195,Taitung,TW,1/5/2020 11:19,22.76,121.15,66.2,93,75,4.7,0,0,broken clouds
196,Kaeo,NZ,1/5/2020 11:19,-35.1,173.78,64,100,51,17.29,0,0,broken clouds
197,Yakeshi,CN,1/5/2020 11:19,49.28,120.73,4.5,85,59,3.31,0,0,broken clouds
198,Gizo,IL,1/5/2020 11:19,31.8,34.94,62.01,67,75,20.8,0,0,broken clouds
199,Bundibugyo,UG,1/5/2020 11:19,0.71,30.06,59.88,88,60,4.72,0,2.88,light rain
200,Luleburgaz,TR,1/5/2020 11:19,41.4,27.36,45,75,75,16.11,0,0,broken clouds
201,Lagoa,PT,1/5/2020 11:19,37.14,-8.45,57.99,67,20,9.17,0,0,few clouds
202,Silver City,US,1/5/2020 11:19,32.77,-108.28,30.2,63,1,12.75,0,0,clear sky
203,Nome,US,1/5/2020 11:19,30.04,-94.42,46.4,93,1,4.12,0,0,clear sky
204,Atyrau,KZ,1/5/2020 11:19,47.1,51.92,30.2,86,97,6.71,0,0,mist
205,Redcliffe,AU,1/5/2020 11:19,-31.94,115.94,82.4,30,0,16.11,0,0,clear sky
206,Chihuahua,MX,1/5/2020 11:17,28.66,-106.08,35.01,62,0,3.91,0,0,clear sky
207,Booue,GA,1/5/2020 11:19,-0.09,11.94,89.4,54,56,2.26,0,0.75,light rain
208,Matasaru,RO,1/5/2020 11:19,44.72,25.42,42.01,86,40,4.7,0,0,scattered clouds
209,Wajima,JP,1/5/2020 11:20,37.4,136.9,35.6,74,75,2.24,0,0,light shower snow
210,Lincoln,GB,1/5/2020 11:20,53.23,-0.54,48,87,75,9.17,0,0,broken clouds
211,Guerrero Negro,MX,1/5/2020 11:20,27.97,-114.04,56.26,68,0,2.26,0,0,clear sky
212,Barentu,ER,1/5/2020 11:20,15.11,37.59,83.93,35,13,10.83,0,0,few clouds
213,Diamantino,BR,1/5/2020 11:20,-14.4,-56.44,77.74,84,55,4.43,0,0.25,light rain
214,San Felipe,CL,1/5/2020 11:20,-32.75,-70.73,59.41,55,0,5.59,0,0,clear sky
215,Vinh,VN,1/5/2020 11:16,18.67,105.69,69.4,92,28,3,0,0.13,light rain
216,Yulara,AU,1/5/2020 11:20,-25.24,130.99,66.2,88,90,8.05,0,0,overcast clouds
217,Bethel,US,1/5/2020 11:20,60.79,-161.76,-13,69,20,4.7,0,0,few clouds
218,Burnie,AU,1/5/2020 11:20,-41.05,145.91,58.33,61,67,7.99,0,0,broken clouds
219,Dawlatabad,AF,1/5/2020 11:20,36.41,64.91,49.41,51,84,11.68,0,0.19,light rain
220,Azoyu,MX,1/5/2020 11:20,16.72,-98.73,72.54,70,87,3.15,0,0,overcast clouds
221,Pevek,RU,1/5/2020 11:20,69.7,170.27,-6.74,77,0,4.97,0,0,clear sky
222,Baleshwar,IN,1/5/2020 11:20,21.5,86.92,69.98,68,64,4.81,0,0,broken clouds
223,Palmeiras De Goias,BR,1/5/2020 11:20,-16.8,-49.93,76.15,81,47,11.41,0,0,scattered clouds
224,Peachland,CA,1/5/2020 11:20,49.77,-119.75,39.2,74,90,4.7,0,0,overcast clouds
225,Luderitz,NA,1/5/2020 11:20,-26.65,15.16,62.65,89,0,15.32,0,0,clear sky
226,Sudak,UA,1/5/2020 11:20,44.85,34.97,40.5,81,99,3.74,0,0,overcast clouds
227,Cape Girardeau,US,1/5/2020 11:18,37.31,-89.52,32,92,1,8.05,0,0,clear sky
228,Ranfurly,CA,1/5/2020 11:20,53.41,-111.68,14.7,79,0,9.1,0,0,clear sky
229,Atasu,KZ,1/5/2020 11:20,48.68,71.64,17.31,77,52,4.7,0,0,broken clouds
230,Dunedin,NZ,1/5/2020 11:19,-45.87,170.5,55.99,44,12,14,0,0,few clouds
231,Jalingo,NG,1/5/2020 11:20,10.3,10.93,81.9,19,0,8.25,0,0,clear sky
232,Faanui,PF,1/5/2020 11:20,-16.48,-151.75,80.94,77,48,11.05,0,0,scattered clouds
233,Bambous Virieux,MU,1/5/2020 11:20,-20.34,57.76,80.6,83,75,8.05,0,0,broken clouds
234,Savinka,RU,1/5/2020 11:20,50.08,47.1,32.18,87,93,8.61,0,0,overcast clouds
235,Port Macquarie,AU,1/5/2020 11:17,-31.43,152.91,75.2,73,90,14.99,0,0,overcast clouds
236,Touba,SN,1/5/2020 11:20,14.86,-15.88,77,27,2,9.17,0,0,clear sky
237,Mildura,AU,1/5/2020 11:20,-34.18,142.16,57.2,87,100,8.05,0,0,overcast clouds
238,Muli,CN,1/5/2020 11:20,28.08,109.56,47.66,88,100,3.06,0,0,overcast clouds
239,Cervo,BR,1/5/2020 11:20,-22.19,-46.24,69.73,87,43,5.93,0,0,scattered clouds
240,Rio Cuarto,AR,1/5/2020 11:17,-33.13,-64.35,73.4,60,20,10.29,0,0,few clouds
241,Meridian,US,1/5/2020 11:20,43.61,-116.39,36,80,90,4.7,0,0,overcast clouds
242,Kununurra,AU,1/5/2020 11:20,-15.77,128.74,87.8,58,100,8.05,0,2,light rain
243,Rongcheng,CN,1/5/2020 11:20,37.16,122.42,42.04,62,98,4.92,0,0,overcast clouds
244,Mareeba,AU,1/5/2020 11:20,-16.99,145.42,80.6,74,40,5.82,0,0,light intensity shower rain
245,Khilok,RU,1/5/2020 11:20,51.36,110.46,5.97,90,99,2.37,0,0,overcast clouds
246,Calama,CL,1/5/2020 11:20,-22.46,-68.93,53.6,81,75,4.7,0,0,broken clouds
247,Umm Kaddadah,SD,1/5/2020 11:20,13.6,26.69,74.23,16,0,17.45,0,0,clear sky
248,Clifton,US,1/5/2020 11:20,40.86,-74.16,39.99,44,90,14.99,0,0,overcast clouds
249,Karonga,MW,1/5/2020 11:20,-9.94,33.93,82.54,64,100,4.76,0,0,overcast clouds
250,Beyneu,KZ,1/5/2020 11:20,45.32,55.19,31.86,59,1,3.31,0,0,clear sky
251,La Ronge,CA,1/5/2020 11:20,55.1,-105.3,19.4,79,90,18.34,0,0,light snow
252,Santa Cruz,BR,1/5/2020 11:20,-6.22,-36.02,87.21,45,89,5.01,0,0,overcast clouds
253,Nevesinje,BA,1/5/2020 11:20,43.26,18.11,44.6,36,20,29.97,0,0,few clouds
254,Langarud,IR,1/5/2020 11:20,37.2,50.15,53.6,76,75,6.93,0,0,broken clouds
255,Svetlaya,RU,1/5/2020 11:20,46.54,138.33,18.81,59,0,16.02,0,0,clear sky
256,Tuatapere,NZ,1/5/2020 11:20,-46.13,167.69,48.99,78,71,10,0,7.94,moderate rain
257,Bulgan,MN,1/5/2020 11:20,48.81,103.53,2.37,83,0,4.99,0,0,clear sky
258,Kargasok,RU,1/5/2020 11:20,59.06,80.87,17.49,93,100,9.86,0,0,overcast clouds
259,Markivka,UA,1/5/2020 11:20,49.52,39.57,35.91,98,100,4.09,0,1.19,light rain
260,Tres Arroyos,AR,1/5/2020 11:20,-38.38,-60.28,63.91,89,100,6.4,0,0,overcast clouds
261,Bitkine,TD,1/5/2020 11:20,11.98,18.21,90.23,12,0,0.38,0,0,clear sky
262,Bambari,CF,1/5/2020 11:20,5.77,20.68,99.55,13,16,5.37,0,0,few clouds
