City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Koumac,NC,2020-01-04 22:55:24,-20.56,164.28,82.42,49,4,5.79
70,Bezhetsk,RU,2020-01-04 22:55:24,57.78,36.69,29.44,86,80,9.1
71,Fort Nelson,CA,2020-01-04 22:55:24,58.81,-122.69,-2.2,64,40,5.82
72,Kodiak,US,2020-01-04 22:54:24,39.95,-94.76,43.0,48,1,8.05
73,Punta Arenas,CL,2020-01-04 22:52:06,-53.16,-70.91,53.6,54,75,13.87
74,Alofi,NU,2020-01-04 22:54:47,-19.06,-169.92,84.2,66,6,10.29
75,Saurimo,AO,2020-01-04 22:52:35,-9.66,20.4,64.63,97,100,2.44
76,Tabas,IR,2020-01-04 22:55:26,33.6,56.92,48.2,81,93,2.24
77,Krabi,TH,2020-01-04 22:55:26,8.06,98.92,75.2,100,20,5.82
78,Mecca,SA,2020-01-04 22:55:27,21.43,39.83,62.46,57,96,9.93
79,Biak,ID,2020-01-04 22:55:27,-0.91,122.88,78.8,85,100,2.53
80,Katangli,RU,2020-01-04 22:55:27,51.71,143.23,0.82,86,100,14.56
81,Caravelas,BR,2020-01-04 22:55:27,-17.73,-39.27,77.13,85,100,10.04
82,Ribeira Grande,PT,2020-01-04 22:52:30,38.52,-28.7,60.87,87,100,18.63
83,Pocosol,CR,2020-01-04 22:55:28,10.37,-84.62,82.4,45,20,14.99
84,Laguna,BZ,2020-01-04 22:55:28,16.17,-88.94,84.2,70,75,6.93
85,Brandon,US,2020-01-04 22:55:29,43.59,-96.57,37.0,92,1,12.75
86,Staryy Nadym,RU,2020-01-04 22:55:29,65.61,72.68,30.06,88,100,22.26
87,Hilo,US,2020-01-04 22:54:03,19.71,-155.08,77.0,78,75,4.7
88,Aswan,EG,2020-01-04 22:55:29,24.09,32.9,46.4,49,0,4.7
89,Poykovskiy,RU,2020-01-04 22:55:30,61.23,73.33,26.6,100,90,13.42
90,Qeshm,IR,2020-01-04 22:55:30,26.96,56.27,68.0,88,40,6.93
91,Amapa,HN,2020-01-04 22:55:30,15.09,-87.97,87.8,55,40,16.11
92,Saint George,GR,2020-01-04 22:55:31,39.45,22.34,41.0,56,75,0.67
93,Upernavik,GL,2020-01-04 22:54:11,72.79,-56.15,-35.39,96,63,12.17
94,Cabo San Lucas,MX,2020-01-04 22:53:34,22.89,-109.91,79.0,60,5,4.7
95,Carnarvon,ZA,2020-01-04 22:54:25,-30.97,22.13,66.27,28,50,8.28
96,Longyearbyen,NO,2020-01-04 22:55:32,78.22,15.63,5.0,65,20,9.17
97,Lorengau,PG,2020-01-04 22:55:32,-2.02,147.27,84.88,72,95,8.95
98,Khatanga,RU,2020-01-04 22:54:29,71.98,102.47,-19.14,85,0,9.1
99,Buenos Aires,AR,2020-01-04 22:52:38,-34.61,-58.44,82.4,44,0,10.29
100,Vaini,IN,2020-01-04 22:52:14,15.34,74.49,59.23,74,0,2.8
101,Sladkovo,RU,2020-01-04 22:55:34,55.53,70.34,15.42,93,100,12.39
102,Kruisfontein,ZA,2020-01-04 22:55:34,-34.0,24.73,69.28,93,45,13.22
103,Remontnoye,RU,2020-01-04 22:55:34,46.56,43.66,33.8,100,64,8.95
104,Mahebourg,MU,2020-01-04 22:53:00,-20.41,57.7,78.01,94,75,6.89
105,Burhaniye,TR,2020-01-04 22:55:35,39.51,26.98,33.8,74,47,3.36
106,Ust-Omchug,RU,2020-01-04 22:55:35,61.13,149.63,-1.68,97,99,2.59
107,Mar Del Plata,AR,2020-01-04 22:52:30,-46.43,-67.52,59.31,58,28,12.44
108,Hualmay,PE,2020-01-04 22:55:35,-11.1,-77.61,70.23,78,100,4.72
109,Ixtapa,MX,2020-01-04 22:55:36,20.71,-105.21,78.8,41,40,6.93
110,Coronel Vivida,BR,2020-01-04 22:55:36,-25.98,-52.57,65.01,87,0,5.21
111,Goderich,CA,2020-01-04 22:55:36,43.74,-81.71,34.0,73,97,3.0
112,San Patricio,PY,2020-01-04 22:55:37,-26.98,-56.83,78.03,52,11,4.59
113,Vardo,US,2020-01-04 22:55:37,39.62,-77.74,48.99,70,90,6.93
114,North Bend,US,2020-01-04 22:55:22,43.41,-124.22,52.0,71,75,8.05
115,Ahipara,NZ,2020-01-04 22:55:38,-35.17,173.16,75.99,69,100,3.0
116,Zemio,CF,2020-01-04 22:55:38,5.02,25.13,69.1,33,72,4.61
